SampleDate,SampleTime,Turbidity,Latitude,Longitude
10/19/2015,10:15:00,1.88,38.68028,-77.16917
11/4/2015,13:15:00,11.6,38.93893,-76.94344
11/9/2015,8:17:00,8.6,38.69842,-76.98673
11/9/2015,11:35:00,19.4,38.70664,-77.04876
11/9/2015,11:35:00,13.2,38.70664,-77.04876
11/9/2015,11:35:00,12.4,38.70664,-77.04876
11/9/2015,11:18:00,22.1,38.69067,-77.11111
11/9/2015,11:18:00,21,38.69067,-77.11111
11/9/2015,11:18:00,19.5,38.69067,-77.11111
11/9/2015,10:51:00,27.9,38.6082,-77.1739
11/9/2015,10:51:00,19.8,38.6082,-77.1739
11/9/2015,10:51:00,15.8,38.6082,-77.1739
11/9/2015,11:46:00,9.3,38.69787,-77.02317
11/9/2015,10:45:00,2.1,38.81123,-77.23026
11/10/2015,9:30:00,24,38.81123,-77.23026
12/1/2015,10:45:00,37.2,38.81123,-77.23026
12/2/2015,13:17:00,21.5,38.93893,-76.94344
12/7/2015,9:07:00,4.8,38.69842,-76.98673
12/7/2015,12:19:00,10.4,38.70664,-77.04876
12/7/2015,12:19:00,10.2,38.70664,-77.04876
12/7/2015,12:19:00,8.6,38.70664,-77.04876
12/7/2015,11:58:00,13.4,38.69067,-77.11111
12/7/2015,11:58:00,12.2,38.69067,-77.11111
12/7/2015,11:58:00,10.2,38.69067,-77.11111
12/7/2015,11:30:00,13.6,38.6082,-77.1739
12/7/2015,11:30:00,11.8,38.6082,-77.1739
12/7/2015,11:30:00,7.3,38.6082,-77.1739
12/7/2015,12:36:00,15.4,38.69787,-77.02317
12/10/2015,10:30:00,1.1,38.81123,-77.23026
12/14/2015,11:00:00,6.53,38.69778,-77.12111
12/14/2015,9:15:00,7.3,38.6,-77.25692
12/14/2015,9:42:00,2.65,38.64028,-77.22222
12/14/2015,10:30:00,3.2,38.68028,-77.16917
12/14/2015,10:15:00,1.1,38.81123,-77.23026
12/29/2015,8:30:00,59.1,38.81123,-77.23026
1/6/2016,13:00:00,6.6,38.93893,-76.94344
1/13/2016,10:15:00,8.3,38.81123,-77.23026
1/14/2016,12:35:00,38.2,38.70664,-77.04876
1/14/2016,12:35:00,36.9,38.70664,-77.04876
1/14/2016,12:35:00,34.5,38.70664,-77.04876
1/14/2016,12:16:00,43.2,38.69067,-77.11111
1/14/2016,12:16:00,42.3,38.69067,-77.11111
1/14/2016,12:16:00,41.9,38.69067,-77.11111
1/14/2016,11:50:00,24.5,38.6082,-77.1739
1/14/2016,11:50:00,24.4,38.6082,-77.1739
1/14/2016,11:50:00,22.3,38.6082,-77.1739
1/14/2016,12:50:00,34.3,38.69787,-77.02317
2/3/2016,12:30:00,21.5,38.93893,-76.94344
2/8/2016,8:45:00,6.8,38.69842,-76.98673
2/8/2016,12:22:00,74.4,38.70664,-77.04876
2/8/2016,12:22:00,59.5,38.70664,-77.04876
2/8/2016,12:22:00,35.4,38.70664,-77.04876
2/8/2016,12:03:00,73.8,38.69067,-77.11111
2/8/2016,12:03:00,59.7,38.69067,-77.11111
2/8/2016,12:03:00,47.4,38.69067,-77.11111
2/8/2016,11:33:00,121,38.6082,-77.1739
2/8/2016,11:33:00,66.2,38.6082,-77.1739
2/8/2016,11:33:00,49.7,38.6082,-77.1739
2/8/2016,12:40:00,46.9,38.69787,-77.02317
2/10/2016,10:30:00,9.3,38.81123,-77.23026
2/16/2016,12:45:00,317.70001,38.81123,-77.23026
3/2/2016,13:15:00,22.9,38.93893,-76.94344
3/7/2016,9:02:00,5.9,38.69842,-76.98673
3/7/2016,12:01:00,22.8,38.70664,-77.04876
3/7/2016,12:01:00,21.6,38.70664,-77.04876
3/7/2016,12:01:00,16.9,38.70664,-77.04876
3/7/2016,11:43:00,19.3,38.69067,-77.11111
3/7/2016,11:43:00,18.1,38.69067,-77.11111
3/7/2016,11:43:00,16.4,38.69067,-77.11111
3/7/2016,11:14:00,93.1,38.6082,-77.1739
3/7/2016,11:14:00,37.1,38.6082,-77.1739
3/7/2016,11:14:00,24.6,38.6082,-77.1739
3/7/2016,12:14:00,47.6,38.69787,-77.02317
3/9/2016,10:15:00,2.8,38.81123,-77.23026
4/6/2016,13:45:00,4.6,38.93893,-76.94344
4/13/2016,11:45:00,1.4,38.81123,-77.23026
4/14/2016,9:38:00,5.9,38.69842,-76.98673
4/14/2016,13:03:00,20.5,38.70664,-77.04876
4/14/2016,13:03:00,17,38.70664,-77.04876
4/14/2016,13:03:00,8.9,38.70664,-77.04876
4/14/2016,12:40:00,55.5,38.69067,-77.11111
4/14/2016,12:40:00,32.5,38.69067,-77.11111
4/14/2016,12:40:00,15.9,38.69067,-77.11111
4/14/2016,12:00:00,44.8,38.6082,-77.1739
4/14/2016,12:00:00,19.7,38.6082,-77.1739
4/14/2016,12:00:00,7.6,38.6082,-77.1739
4/14/2016,13:19:00,9.6,38.69787,-77.02317
5/4/2016,13:20:00,40.2,38.93893,-76.94344
5/9/2016,8:45:00,14.4,38.69842,-76.98673
5/9/2016,12:15:00,40.8,38.70664,-77.04876
5/9/2016,12:15:00,15.3,38.70664,-77.04876
5/9/2016,12:15:00,11.9,38.70664,-77.04876
5/9/2016,11:55:00,29.9,38.69067,-77.11111
5/9/2016,11:55:00,18.9,38.69067,-77.11111
5/9/2016,11:55:00,11.3,38.69067,-77.11111
5/9/2016,11:20:00,24.6,38.6082,-77.1739
5/9/2016,11:20:00,12.4,38.6082,-77.1739
5/9/2016,11:20:00,12.2,38.6082,-77.1739
5/9/2016,12:33:00,14.2,38.69787,-77.02317
5/11/2016,11:15:00,2.6,38.81123,-77.23026
5/17/2016,12:30:00,7,38.81123,-77.23026
5/23/2016,9:30:00,33.5,38.81123,-77.23026
6/1/2016,12:45:00,5.5,38.93893,-76.94344
6/6/2016,8:45:00,57.4,38.69842,-76.98673
6/6/2016,12:32:00,26.8,38.70664,-77.04876
6/6/2016,12:32:00,25.7,38.70664,-77.04876
6/6/2016,12:32:00,17.1,38.70664,-77.04876
6/6/2016,12:08:00,43.3,38.69067,-77.11111
6/6/2016,12:08:00,24,38.69067,-77.11111
6/6/2016,12:08:00,11.1,38.69067,-77.11111
6/6/2016,11:33:00,70.8,38.6082,-77.1739
6/6/2016,11:33:00,16.1,38.6082,-77.1739
6/6/2016,11:33:00,11.2,38.6082,-77.1739
6/6/2016,12:46:00,11.5,38.69787,-77.02317
6/15/2016,11:00:00,0.2,38.81123,-77.23026
6/17/2016,7:45:00,32.4,38.81123,-77.23026
7/6/2016,12:10:00,14.1,38.93893,-76.94344
7/11/2016,8:15:00,18.2,38.69842,-76.98673
7/11/2016,12:35:00,16.3,38.70664,-77.04876
7/11/2016,12:35:00,17.1,38.70664,-77.04876
7/11/2016,12:35:00,6.7,38.70664,-77.04876
7/11/2016,12:14:00,49.1,38.69067,-77.11111
7/11/2016,12:14:00,17.9,38.69067,-77.11111
7/11/2016,12:14:00,9.8,38.69067,-77.11111
7/11/2016,11:35:00,19.9,38.6082,-77.1739
7/11/2016,11:35:00,12.6,38.6082,-77.1739
7/11/2016,11:35:00,9.9,38.6082,-77.1739
7/11/2016,12:51:00,10.8,38.69787,-77.02317
7/13/2016,10:30:00,1.6,38.81123,-77.23026
8/3/2016,12:22:00,12.6,38.93893,-76.94344
8/8/2016,8:30:00,13.9,38.69842,-76.98673
8/8/2016,11:38:00,18.7,38.70664,-77.04876
8/8/2016,11:38:00,13.2,38.70664,-77.04876
8/8/2016,11:38:00,8,38.70664,-77.04876
8/8/2016,11:20:00,40.8,38.69067,-77.11111
8/8/2016,11:20:00,20,38.69067,-77.11111
8/8/2016,11:20:00,10.5,38.69067,-77.11111
8/8/2016,10:49:00,26.5,38.6082,-77.1739
8/8/2016,10:49:00,15.6,38.6082,-77.1739
8/8/2016,10:49:00,10.9,38.6082,-77.1739
8/8/2016,11:49:00,10.5,38.69787,-77.02317
8/10/2016,11:00:00,1.7,38.81123,-77.23026
